review_id,user_id,business_id,stars,useful,funny,cool,text,date
uY_zjT_h18ikwlRn7GTvzQ,Egji_XwjS4dykCjk8qoZWw,oBNrLz4EDhiscSlbOl8uAw,4,0,0,0,"Went in for breakfast around 8a on a Thursday morning - fairly crowded but got quickly-seated. The service was very good and I wasn't waiting long for my order to arrive. I ordered the cinnamon swirl pancakes which were extremely rich, but very, very tasty. When it was time to leave, the server gave me a to-go cup for my coffee which I thought was very thoughtful.

Nice atmosphere and excellent breakfast!",2017-02-09 14:54:46
TpHbltMjIXU88izr5sQnpA,Jwm8Ne1aSFWrwuL6lsNWQw,oBNrLz4EDhiscSlbOl8uAw,5,0,0,0,"I'm glad we tried this place. I had a Bacon Bloody Mary to drink, pretty good. Then for food I had Shrimp Boogaloo and Eggs Cochon Benedict's, they both were so full of flavor. The eggs cochon was my favorite though. I wish I could get something like that out here in Cali. Till next time Ruby Slipper.",2018-07-07 20:45:23
Q5Rm6HIxT1uRaQwgcIAlCQ,CGwlI7N3jMnEzSnoHYlbcg,oBNrLz4EDhiscSlbOl8uAw,2,0,0,0,"My boyfriend had the 3 little pigs omelette and side of pork sausage. I had the Eggs Coubion. Neither of us was impressed with the food. It cost twice as much as the breakfast we had at Majoria's Commerce yesterday, but not nearly as good. My dish was catfish with poached eggs. It had Tasso in it and I didn't realize that was ham until I got my order. When I noticed it and told my waiter, he asked if I'd like something else. I asked for the same dish without ham. He was very polite about the ordeal and insisted many people made that mistake of not realizing it was ham. I got a new dish, but seemed like the kitchen just took the ham out of my old dish cause I had taken a tiny piece of the catfish before noticing the ham and realized that same piece of catfish was on my ""New"" dish. The waiter was super polite and professional. That was as the highlight of the trip.",2015-04-01 14:19:54
J9RipJbSTnhO6fea7DyFDw,r_irKyOWcv1stkcab6ycqg,oBNrLz4EDhiscSlbOl8uAw,4,3,0,0,"The Ruby Slipper opened post-Katrina with Oz-inspiration, ""there is no place like home."" The restauranteurs returned to their wrecked city and started it up. 

The decor and atmosphere will make you think the place must have been open longer, y'know, one of those ancient places you find in New Orleans that has been open since the 1800's. Classic southern diner. 

The food is a southern diner style. What's that mean? All of the classics are here, but with a bit of southern twist. You can get an egg's Benedict with pulled pork instead of ham, for instance. Egg's Florentine can be made with collard greens. The food is rich and delicious, in a city known for rich and delicious food. 

A few standouts. The eggs Blackstone is a wonderful, sensible breakfast. It is just on this side of sane on a scale of ""how insanely rich can we make an egg dish."" Delicious. 

The banana's Foster French toast is a decadent, sweet breakfast splurge. It is almost too, too sweet. 

They make a very nice latte. 

You will wait 20-30 minutes probably. It will be worth it.",2015-02-16 16:21:03
PAjnd_I5pkN2m9Mg5cJTUg,C8jSfs5zj3NkqBx-YRb3tA,oBNrLz4EDhiscSlbOl8uAw,1,1,0,0,"This place has the rudest server I think I have ever had the displeasure to encounter, Theresa S. As we are ordering, the waitress mutters ""Jesus Christ"" under her breath. Very unaccommodating for swapping sides for the low carb eaters at our table, offering no alternative for fries and fruit. She would ask ""Is everything alright"" and ""Do you need anything else"" without actually stopping at our table. She charged us for every little thing, i.e. sour cream, instead of trying to make up for her bad attitude. The food was subpar, poorly seasoned, and dressed (with condiments) inadequately. We didn't even have the appropriate utensils for the food we ordered, i.e. no spoon for a side of grits. I would NEVER recommend this place as well, would not patronize this place again myself.",2018-04-15 13:11:30
afwWkuZGWAvABGmTNI4xXw,1JM_zjvFZBXH2kebeL8iOg,oBNrLz4EDhiscSlbOl8uAw,1,0,0,0,It sucks worst biscuits I ever had and extremely pricey for the poor quality of food I will never go back.,2018-09-03 01:43:09
w72u8VAL5FNl2oQ0qqd1KA,_y5EBD_9fCsEl7DKgvm3HQ,oBNrLz4EDhiscSlbOl8uAw,4,0,0,0,Very good breakfast in New Orleans and a great spot to meet interesting people.  Very cool place.,2017-02-09 03:41:31
pCwQEaiXUHRyf-TvPgZLig,pQkEQpYVdv556qbUYS7vxg,oBNrLz4EDhiscSlbOl8uAw,5,0,0,0,"This place was amazing!! We did the waiting line seating through the yelp app. Otherwise, the wait time would have been 75-90 minutes for our party of 7. Using the app, we were given a time to arrive and walk right up and get s seat. The service was great. Our server Alex did an amazing job. He described the food so well that some of our group ordered multiple dishes. He accurately took our orders and was so fast to refill drinks and checked on us regularly. And may I say that the place was packed. Even so, he never missed a beat. The food...we were all in heaven. This is the first time that our group went to a restaurant and every single person LOVED there food. There was not a single complaint. All in all, if I could give this place 10 stars I would. However 5 will have to do. You can't go wrong with this place.",2017-05-13 17:45:19
Pjj__iPZOJHCpDwt8zG7ow,8e-cPPjsAlcib9_41FAjMQ,oBNrLz4EDhiscSlbOl8uAw,4,0,0,0,"There is lots of food to be eaten in the Big Easy and every restaurant has a sign telling you that their food is the most authentic in the French Quarter. But once you go in the food is about as authentic to the area as a Popeye's Chicken in North Dakota.

Ruby Slipper Cafe is the place to go for some good food. Tucked away on the other side of Canal Street, you can get some seriously delicious eats. I had the shrimp and grits. Made with an Abita reduction, this is was a seriously delicious meal and it was served with a biscuit. this place was a true find. It was also recommended to me by a local...so to all the places in New Orleans claiming to be the ""Best"" this or that, grab a seat at the Ruby Slipper Cafe and learn how to cook a real meal.",2011-06-29 16:31:14
ahrxES6pwH0iUn2ap7IxFQ,Fq5CvUC1AzK8GSmpyn0UeQ,oBNrLz4EDhiscSlbOl8uAw,4,0,0,0,"Decent but go to the Mid-City location instead.  Solid New Orleans breakfast, great drinks - it's a historical landmark in New Orleans but one that continues to serve great food today.",2015-05-12 18:41:10
