,review_id,user_id,business_id,stars,useful,funny,cool,text,date
0,vHLTOsdILT7xgTu7TAWTUQ,417HF4q8ynnWtuJrkNax_g,_ab50qdWOk0DdB6XOrBitw,5,0,0,0,"This place has amazing oysters and the BEST bloody mary during my stay in NOLA. The wait wasn't too long. It went by fairly quick but I do recommend having a drink in hand while you wait. We sat at the bar in front of Hollywood, the Master Shucker, and he was great! Super focused on his work but attentive enough to not keep us waiting on anything. We tried both the fresh oysters and the chargrilled and boy, were those phenomenal. My colleague and I had oysters at each restaurant we dined at to truly see who offered the best and Acme wins, hands down.",7/25/16 4:34
1,I90lP6oPICTkrhCFGQt5tA,1UAb3zZQeGX6fzZax5DY1A,_ab50qdWOk0DdB6XOrBitw,5,0,0,0,"OH MY!! A must try. We had no idea there would be a line but there is but definitely well worth it!! The oysters are amazing! Try them charbroiled as well. The bread and butter that comes with them is amazing. The crawfish puppies were incredible. Could eat them all day. Definitely did not want to leave, but felt rushed (only negative) to get out so they could turn the tables. Try to see if you can join the 15 Dozen Club!",12/19/16 20:27
2,469eAl2fB069YTF_B5zW7w,p2kXD3gNu3N776C0WrmBjA,_ab50qdWOk0DdB6XOrBitw,5,0,0,0,"The fried seafood was extremely hot. Very nice taste. Add the soft shell crab for $9.99, totally worth it. 

Service was good too, our waiter Roscoe was super nice. Brandon seated us was super friendly. I appreciate the great service. 

Prices are pretty much the same as other restaurants in the French Quarter. 

There's always have a line to get in, stand in it... it's worth the wait. But I personally wouldn't stand in the line for more than 10 - 15 minutes... there are other great seafood restaurants in the French Quarter.",8/23/18 20:58
3,aPpHBDs7Jiiq0sb9YutOhQ,7cDhfvTSH1wTxEmXMj_ChQ,_ab50qdWOk0DdB6XOrBitw,5,0,0,0,I love this place. I wish my stay was longer so I could visit it again. The food is awesome. I will definitely go back if I am to visit New Orleans again. Be prepared for the long waiting list.,6/24/13 18:07
4,k9OG5kA5ebruSx_f1T-P-A,7QTh-fkw9Nr2lO10-PV8yw,_ab50qdWOk0DdB6XOrBitw,3,0,0,0,"Loved the chargrilled oysters!  I mean, seriously, I have never had a tastier cooked oyster dish.  I can't tell you what goes into this dish, but it must have included some garlic, parmesan cheese, and possibly butter?  No matter what, I really enjoyed these oysters.  If you check out ACME for nothing else, at least try the chargrilled oysters.  You won't be disappointed.

I also had a 1/2 and 1/2 po'boy--half fried catfish, half fried shrimp.  The sandwich was tasty, but far from spectacular.  On a separate occasion, I tried the fried crawfish tail appetizer, which was served with a delicious sauce (aioli probably, with horseradish).  Again, nothing out of the ordinary.

Needless to say, stick to those chargrilled oysters.  The raw oysters are just fine also, to be sure.  I did find it odd that when they shucked the oysters, they left all the sandy mud on the outside of the shell, which meant odds were good that some of the sand would infiltrate your oyster.  Not sure why they do that, considering how texture is so important when it comes to oysters, and the last thing you want is to bite on a grain of crunchy sand while your trying to enjoy your meal.  Oh well.

I would definitely stop here for lunch again someday.  In fact, I went there two days in a row already!",10/6/10 8:03
5,EIoIokjIKHxCNVbh1Z7v2Q,D9JPSQOgYSWTSGEVXh3-9Q,_ab50qdWOk0DdB6XOrBitw,2,0,0,0,"This place is not that good. OK the oysters are good, same as they are at any other place in town. They have no real control over that

Everything else is mediocre to horrible. Dont touch the fried seafood or anything like etoufee 

It is fun to belly up to the oyster bar and rap with the shuckers.  some have been there decades and they have some stories to tell.

Did have a bad experience though last time i was there. We went to settle the bill as the shucker who had been entertaining us encouraged us to pay cash. Why? so he could stuff the tip in his pocket and not share with the rest of the wait staff. He as much as told us that

This is whats depressing about NOLA at times, good, authentic, hard working, jive talking worker giving us a great show at the same time trying to beat the rest of the staff out of their living.  No honor anymore

you want good fried seafood go to Bozos in metairie, or even Jaggers in Harahan",4/10/13 17:41
6,ETX8LL4wpbfpzstDLZhQ8w,ki3u6YE6T4ZE2Vqfa9bMLw,_ab50qdWOk0DdB6XOrBitw,5,0,0,0,Best oysters I've ever had in my life.  The char grilled ones were killer.  Worth the wait.  DO NOT SKIP THIS PLACE ON YOUR VISIT!,9/20/17 14:36
7,MC80k4qUovsSPX8_4LrUfQ,AR4iAZuZdShphRC_oS2Slg,_ab50qdWOk0DdB6XOrBitw,4,0,1,0,"Well we all know Acme is like a New Orleans institution.  The chargrilled oysters are a must if you decide to visit.  You can't go wrong with the 1/2 and 1/2.  I just had the half oyster poyboy and cup of seafood gumbo.  I have to be honest when I say that Acme has a pretty good damn gumbo.  I find this hard to come by in a city deemed the ""Melting Pot"" of the South. Anywho, ice cold beer on tap and oysters. What else do you need in life?",12/29/13 0:47
8,qmDIHXu4l4hm08wWVo_F1A,1WE0E1ewe2ZZU0l3V5vNWQ,_ab50qdWOk0DdB6XOrBitw,4,0,0,0,"After seeing Acme on Man vs. Food, I thought it would be a good addition to my food your of New Orleans. Everytime we passed by, there was always a line, so we chose another restaurant instead. However, on our last day in NOLA, we knew we would have to tough it out and wait. For lunch around noon, it only took 20 minutes. We were seated at the oyster bar and promptly served our food. We ordered the piece po-boy which was topped with tabasco mayo and filled with oysters and shrimp. So delicious and on the most perfect po-boy bread imaginable. We also ordered the sampler plate that had seafood gumbo, andouille sausage and red beans and rice. Everything was flavorful and delicious. I am so glad we finally got the chance to eat here-it was worth the wait!",1/3/12 18:59
9,YktVgx3g-58Z1e_6MKflgQ,JWEwJXd2KB0ExTOrHg2pAg,_ab50qdWOk0DdB6XOrBitw,5,0,0,0,The oysters are amazing!  The service is top notch!,1/17/16 5:55
